tag,total_posts,total_views,total_answers,total_comments,total_posts_by_year_mean,total_views_by_year_mean,total_answers_by_year_mean,total_comments_by_year_mean
0.9999999999999998,1.0,0.10567400543134083,0.8888988185669092,0.9364298528656647,0.8674444803195537,0.060117955810069644,0.5393892356171524,0.7737728998346793
0.9999999999999998,0.8817766405900312,0.5301030085598845,1.0,1.0,0.9818599187653017,0.44531100343186736,0.8244300271081335,0.9999999999999999
0.9999999999999998,0.8533874017115715,0.5545559788032032,0.9895900092686453,0.9486741427729213,1.0,0.5115831123110116,0.8799126780813358,0.9960918453435311
0.9999999999999998,0.834725126430485,0.4283608865428975,0.9173430905186611,0.9808871167122037,0.9411430788134861,0.36574469727968567,0.7501266952676572,0.997018607378838
0.9999999999999998,0.7866581600272569,0.6323554116158985,0.9574970062020769,0.8468084971505005,0.9872114618478947,0.6455308764943413,0.9306917742020051,0.9368706316526868
0.9999999999999998,0.7513110690975169,0.07757858323249872,0.6896306074664937,0.7455054612766012,0.8674444803195537,0.060117955810069644,0.5393892356171524,0.7737728998346793
0.9999999999999998,0.7509870596645,0.185030030213414,0.7470553539830918,0.7749798728343487,0.7428760682352381,0.1245966091923801,0.5242152457271563,0.7557339678924325
0.9999999999999998,0.7250997080574799,0.6717966504702448,0.9042061264978565,0.837841607130405,0.9872114618478947,0.6455308764943413,0.9306917742020051,0.9368706316526868
0.9999999999999998,0.7188566809408967,0.504175112054227,0.8228437633252733,0.847290281273178,1.0,0.5115831123110116,0.8799126780813358,0.9960918453435311
0.9999999999999998,0.70275975869648,0.019530814758032415,0.51822961217231,0.6062666801904315,0.5655481853886526,0.0,0.2305153972354266,0.45961840074122895
0.9999999999999998,0.6968541022266462,0.2722640740819996,0.7479898785373414,0.8311536827958693,0.8120357107361464,0.235454694875362,0.6051557461099936,0.8766801255940562
0.9999999999999998,0.6881359102660886,0.3264141005083884,0.7032910073715093,0.7471473308525678,0.8120357107361464,0.235454694875362,0.6051557461099936,0.8766801255940562
